Tank,treatment,col,Brachionidae,Cyclopidae.adult.nauplii,Podocopida.ostracod,Chydoridae,Daphniidae,Naididae,Turbellaria,Hydra,Chaoboridae,Temoridae,Trichocercidae,Conochilidae,Chironimidae,Collothecidae,Libellulidae,Hexarthridae,Simocephalus,Ceriodaphnia,Daphnia,Scalpholeberis
A1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1
B2,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
B4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
B5,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
B6,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
C1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
C2,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0
D6,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
A5,40,2,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0
B1,40,2,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1
B3,40,2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
D1,40,2,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
D2,40,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0
D3,40,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0
D4,40,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
D5,40,2,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
A2,100,3,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
A3,100,3,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
A4,100,3,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
A6,100,3,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
C3,100,3,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
C4,100,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
C5,100,3,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1
C6,100,3,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1
