tank,treatment,treat.fact,infected.days,total.dead,dead.days,dry.mass.peri,dm.per.cm2,AFDM.peri,%AFDM,chl.a.rfu,chla.per.cm2,physa.abun,pro.abun,phys.pro,lym.abun,foss.abun,heli.abun,total.abun,physa.metas,physa.mean.metas,physa.prev,pro.metas,pro.mean.metas,pro.prev,NOx-z,PO4-z,NH-z,DOC-z,TN-z,TDP-z,DIN-z,DON-z,NOx-s,PO4-s,NH-s,DOC-s,TN-s,TDP-s,DIN-s,DON-s,NOx-n,PO4-n,NH-n,DOC-n,TN-n,TDP-n,DIN-n,DON-n,NOx-t,PO4-t,NH-t,DOC-t,TN-t,TDP-t,DIN-t,DON-t,do.loavg.z,do.hiavg.z,do.delta.z,do.loavg.s,do.hiavg.s,do.delta.s,do.loavg.n,do.hiavg.n,do.delta.n,do.loavg.t,do.hiavg.t,do.delta.t,pH.z,TDS.z,conduct.z,pH.s,TDS.s,conduct.s,pH.n,TDS.n,conduct.n,pH.t,TDS.t,conduct.t,prop.wolf,prop.spiro,prop.lemna,prop.l.t,total.mass,total.wolf,total.spiro,total.lemna,total.l.t,wolf.lem
A1,0,a,13,22,74.5,10,0.327225131,2.8,28,9707.24,635.2905759,27,15,1.8,1,0,14,57,5,0.192307692,0.153846154,0,0,0,0,0.012,0,4.875,0.4006,0.162,0,0.4006,0,0,0.0209,6.118,0.3684,0.024,0.0209,0.3475,0,0.014,0,5.564,0.4392,0.044,0,0.4392,0,0.021,0,6.263,0.3008,0.04,0,0.3008,5.43,6.11,0.68,7.166666667,7.82,0.653333333,5.166666667,5.386666667,0.22,7.063333333,7.113333333,0.05,8.58,203,285,8.49,216,302,7.79,187,267,7.69,186,262,0.546025878,0.192421442,0.26155268,0,1398.4,763.5625878,269.0821442,365.755268,0,2.087632509
A2,100,c,298.5,19,66.5,10.8,0.353403141,4.5,41.66666667,6666.24,436.2722513,25,35,0.714285714,0,0,0,60,2466,98.64,1,31,0.939393939,0.545454545,0,0.017,0.0793,5.239,0.374,0.032,0.0793,0.2947,0,0,0,6.501,0.3476,0.024,0,0.3476,0,0.014,0,5.02,0.2895,0.028,0,0.2895,0,0.011,0,6.28,0.2711,0.024,0,0.2711,4.99,5.226666667,0.236666667,7.023333333,7.853333333,0.83,5.62,5.696666667,0.076666667,7.51,7.716666667,0.206666667,8.66,206,291,8.69,221,311,7.99,183,258,7.66,181,257,0.537315959,0.35572855,0.106955492,0,2708.4,1455.266543,963.4552039,289.6782535,0,5.023734179
A3,100,c,272.5,15,55.5,12.6,0.412303665,5.7,45.23809524,12894.26,843.8651832,16,55,0.290909091,0,0,0,71,1703,106.4375,1,95,3.064516129,0.709677419,0,0.021,0,5.018,0.3103,0.028,0,0.3103,0,0.012,0,7.754,0.4527,0.045,0,0.4527,0,0.014,0,5.6,0.3744,0.016,0,0.3744,0,0,0,6.449,0.28,0.018,0,0.28,5.633333333,5.986666667,0.353333333,6.626666667,8.343333333,1.716666667,5.963333333,6.06,0.096666667,7.603333333,7.606666667,0.003333333,8.83,195,275,8.75,214,301,7.96,186,261,7.62,176,248,0.32605178,0.578478964,0.095469256,0,3565.1,1162.407201,2062.335356,340.3574434,0,3.415254238
A4,100,c,292.5,20,73.5,9.1,0.297774869,2.8,30.76923077,9602.8,628.4554974,4,69,0.057971014,0,0,0,73,1232,308,1,41,1.366666667,0.7,0,0.018,0,5.146,0.2972,0.033,0,0.2972,0,0,0,7.023,0.3923,0.035,0,0.3923,0,0.014,0,6.068,0.3897,0.085,0,0.3897,0,0,0,6.281,0.2862,0.024,0,0.2862,5.793333333,6.183333333,0.39,6.2,6.813333333,0.613333333,5.233333333,5.296666667,0.063333333,7.586666667,7.696666667,0.11,8.83,189,265,8.33,213,300,8.43,177,250,7.65,169,238,0.288537549,0.496047431,0.21541502,0,3481.3,1004.485771,1726.889921,749.9243083,0,1.339449542
A5,40,b,127.5,13,48.5,21.6,0.706806283,13.7,63.42592593,9074.53,593.8828534,11,81,0.135802469,0,0,0,92,1483,134.8181818,1,55,1.774193548,0.709677419,0,0.021,0,6.099,0.4653,0.021,0,0.4653,0,0.016,0,7.982,0.4147,0.046,0,0.4147,0,0.01,0,6.707,0.386,0.026,0,0.386,0,0.013,0,7.583,0.407,0.037,0,0.407,4.99,5.206666667,0.216666667,6.436666667,7.036666667,0.6,5.456666667,5.196666667,-0.26,5.7,5.673333333,-0.026666667,8.7,202,284,8.59,225,318,8.04,190,267,7.65,191,270,0.719140083,0.205963939,0.074895978,0,2322.9,1670.490499,478.4336338,173.9758669,0,9.601851847
A6,100,c,270,13,50,6.9,0.22578534,1.6,23.1884058,9237.33,604.5373037,50,74,0.675675676,0,0,0,124,3001,60.02,1,46,1.483870968,0.612903226,0,0.026,0,5.445,0.4379,0.039,0,0.4379,0,0,0.2943,6.263,0.3405,0.03,0.2943,0.0462,0,0.01,0,6.006,0.2955,0.024,0,0.2955,0,0,0,7.084,0.288,0.016,0,0.288,5.05,5.256666667,0.206666667,6.726666667,7.56,0.833333333,5.126666667,5.536666667,0.41,7.383333333,7.39,0.006666667,8.62,197,277,8.55,217,305,8.18,182,257,7.58,175,247,0.669966997,0.304455446,0.025577558,0,3491.8,2339.390759,1063.097525,89.31171617,0,26.19354839
B1,40,b,136,22,77.5,13.7,0.448298429,6.4,46.71532847,7708.23,504.4653141,3,17,0.176470588,0,0,1,21,813,271,1,100,5.882352941,0.941176471,0,0.018,0,3.808,0.2433,0.015,0,0.2433,0,0.021,0.0203,6.865,0.3665,0.049,0.0203,0.3462,0,0.024,0,5.042,0.3126,0.032,0,0.3126,0,0.021,0,5.604,0.3045,0.041,0,0.3045,6.193333333,6.583333333,0.39,6.176666667,6.626666667,0.45,5.816666667,6.123333333,0.306666667,5.643333333,5.726666667,0.083333333,9.03,185,262,8.38,203,289,8.45,166,235,7.6,168,236,0.876376989,0.073439412,0.050183599,0,1464.6,1283.541738,107.5593635,73.49889841,0,17.46341463
B2,0,a,0,24,83.5,6.7,0.219240838,1.2,17.91044776,7721.74,505.3494764,38,87,0.436781609,0,0,1,126,16,0.421052632,0.131578947,3,0.09375,0.0625,0,0.018,0,5.001,0.5335,0.028,0,0.5335,0,0.016,0,6.06,0.4432,0.061,0,0.4432,0,0.022,0,4.62,0.477,0.024,0,0.477,0,0.023,0,4.783,0.364,0.035,0,0.364,6.026666667,6.203333333,0.176666667,6.663333333,7.283333333,0.62,5.753333333,6.42,0.666666667,6.763333333,7.12,0.356666667,9.26,186,262,8.89,189,267,8.72,160,226,8.03,159,224,0.746503497,0.180944056,0.072552448,0,114.4,85.4,20.7,8.3,0,10.28915663
B3,40,b,128.5,22,79,8.5,0.278141361,4.3,50.58823529,5759.03,376.8998691,7,35,0.2,0,0,9,51,303,43.28571429,0.714285714,64,2.133333333,0.533333333,0,0.016,0,5.603,0.5198,0.023,0,0.5198,0,0,0,7.146,0.4057,0.032,0,0.4057,0,0,0,5.82,0.2857,0.052,0,0.2857,0,0,0,6.845,0.2366,0.016,0,0.2366,4.716666667,4.606666667,-0.11,6.663333333,7.123333333,0.46,6.38,6.416666667,0.036666667,7.653333333,7.76,0.106666667,8.55,203,286,8.51,218,307,8.39,181,254,7.63,165,231,0.651376147,0.214678899,0.118348624,0.01559633,6032.7,3929.556881,1295.093394,713.9617431,94.08798165,5.50387597
B4,0,a,21,26,92.5,5.5,0.179973822,1.7,30.90909091,10098.3,660.8835079,18,66,0.272727273,0,0,10,94,51,2.833333333,0.777777778,3,0.09375,0.09375,0,0.028,0,5.703,0.4985,0.081,0,0.4985,0,0,0,7.166,0.4099,0.032,0,0.4099,0,0.012,0,6.128,0.3178,0.036,0,0.3178,0,0,0,7.033,0.2601,0.024,0,0.2601,4.606666667,4.71,0.103333333,6.363333333,6.83,0.466666667,4.993333333,4.893333333,-0.1,6.5,6.603333333,0.103333333,8.66,195,275,8.42,219,309,8.28,179,253,7.76,174,245,0.76046176,0.216450216,0.023088023,0,2399.5,1824.727994,519.3722944,55.3997114,0,32.9375
