treatment,tank,infected.days,factor,week,TN,TP,DOC,Nmmol,Pmmol,Cmmol,CP,CN,NP
0,A1,13,a,0,0.4006,0.162,4.875,0.028600598,0.005230233,0.405888083,77.604203,14.19159414,5.468321755
100,A2,298.5,c,0,0.374,0.032,5.239,0.026701507,0.001033132,0.436194393,422.2056664,16.33594655,25.84519147
100,A3,272.5,c,0,0.3103,0.028,5.018,0.022153684,0.000903991,0.417794134,462.1662878,18.85890136,24.50653297
100,A4,292.5,c,0,0.2972,0.033,5.146,0.021218417,0.001065418,0.428451298,402.1438946,20.19242527,19.91558167
40,A5,127.5,b,0,0.4653,0.021,6.099,0.033219816,0.000677993,0.507797214,748.970955,15.28597301,48.99727055
100,A6,270,c,0,0.4379,0.039,5.445,0.03126361,0.00125913,0.453345767,360.0467662,14.50074937,24.82952825
40,B1,136,b,0,0.2433,0.015,3.808,0.017370259,0.000484281,0.31705063,654.6833834,18.25249921,35.86815022
0,B2,0,a,0,0.5335,0.028,5.001,0.038088915,0.000903991,0.416378729,460.600559,10.93175622,42.13417769
40,B3,128.5,b,0,0.5198,0.023,5.603,0.037110811,0.000742564,0.466500704,628.2296419,12.57047981,49.97658415
0,B4,21,a,0,0.4985,0.081,5.703,0.03559011,0.002615117,0.474826613,181.5699568,13.34153244,13.60937791
0,B5,14,a,0,0.6253,0.058,5.273,0.044642921,0.001872553,0.439025203,234.4527954,9.834150495,23.84067598
0,B6,12,a,0,0.484,0.046,5.424,0.034554892,0.001485128,0.451597326,304.079741,13.06898401,23.26728235
0,C1,0,a,0,0.3547,0.04,5.505,0.025323595,0.001291416,0.458341312,354.9138681,18.09937767,19.60917522
0,C2,29,a,0,0.4977,0.032,5.008,0.035532995,0.001033132,0.416961543,403.589612,11.73448913,34.393454
100,C3,257.5,c,0,0.4274,0.025,5.261,0.030513968,0.000807135,0.438026093,542.6926387,14.35493702,37.80529569
100,C4,296,c,0,0.4905,0.036,5.296,0.035018955,0.001162274,0.440940162,379.3771007,12.59147108,30.12968845
100,C5,293.5,c,0,0.3733,0.042,5.671,0.026651531,0.001355986,0.472162322,348.2057949,17.7161425,19.65471857
